Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
04/01/2020 23:59;CAB MES (BCA VA DR AMPLAS MEDAN COUNTER);1561000;A002011027;C002041038
04/01/2020 0:35;A. NIW (BCA VA DR NGAWI AGEN);2518200;A002011027;C002042073
04/01/2020 5:40;CAB MLG (BCA VA DR MALANG GUDANG);129000;A002011027;C001041015
04/01/2020 6:43;A. MDN (BCA VA DR MADIUN AGEN);22350000;A002011027;C002042028
04/01/2020 7:03;CAB JKT (BCA VA DR CEMPAKA MAS AGEN);11631626;A002011027;C001041011
04/01/2020 7:17;CAB BDJ (BCA VA DR DAKOTA BANJARMASIN);145000;A002011027;C002041048
04/01/2020 7:44;CAB PKL (BCA VA DR PEKALONGAN CABANG);50000;A002011027;C001041026
04/01/2020 7:51;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);302250;A002011027;C001041016
04/01/2020 7:59;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);3722000;A002011027;C001041020
04/01/2020 8:05;CAB XOJ (BCA VA DR COUNTER LEBO);1181650;A002011027;C002041049
04/01/2020 8:05;CAB XOJ (BCA VA DR COUNTER LEBO);2710650;A002011027;C002041049
04/01/2020 8:10;CAB BSI (BCA VA DR JONGGOL AGEN);1319000;A002011027;C002041035
04/01/2020 8:15;CAB MLG (BCA VA DR MALANG GUDANG);69000;A002011027;C001041015
04/01/2020 8:18;CAB KWS (BCA VA DR JEPARA AGEN);986059;A002011027;C001041025
04/01/2020 8:19;A. IMU (BCA VA DR INDRAMAYU AGEN);19839656;A002011027;C002042050
04/01/2020 8:26;CAB JKT (BCA VA DR TANAH ABANG COUNTER);1549000;A002011027;C001041011
04/01/2020 8:27;CAB DPS (BCA VA DR DENPASAR CABANG);148000;A002011027;C001041017
04/01/2020 8:29;CAB XOJ (BCA VA DR GRESIK COUNTER);636000;A002011027;C002041049
04/01/2020 8:32;CAB BSI (BCA VA DR CIKARANG COUNTER);2591000;A002011027;C002041035
04/01/2020 8:33;CAB JKT (BCA VA DR CENGKARENG AGEN);15324725;A002011027;C001041011
04/01/2020 8:34;CAB LMG (BCA VA DR LAMONGAN CABANG);186000;A002011027;C002041057
04/01/2020 8:34;CAB SST (BCA VA DR AMBARAWA COUNTER);372000;A002011027;C001041019
04/01/2020 8:37;CAB BDJ (BCA VA DR BANJARBARU COUNTER);1100000;A002011027;C002041048
04/01/2020 8:43;CAB MGL (BCA VA DR MUNTILAN COUNTER);490000;A002011027;C001041032
04/01/2020 8:46;CAB JBE (BCA VA DR RAMBIPUJI COUNTER);405000;A002011027;C001041027
04/01/2020 8:47;CAB SRG (BCA VA DR BANYUMANIK AGEN);1951200;A002011027;C001041014
04/01/2020 8:49;CAB DJB (BCA VA DR JAMBI COUNTER);50000;A002011027;C002041032
04/01/2020 8:52;CAB DJB (BCA VA DR JAMBI CABANG);1242000;A002011027;C002041032
04/01/2020 8:54;CAB SRG (BCA VA DR MT HARYONO AGEN);2227515;A002011027;C001041014
04/01/2020 8:56;CAB BSI (BCA VA DR BEKASI CABANG);5187450;A002011027;C002041035
04/01/2020 8:58;CAB JOG (BCA VA DR DAKOTA YOGYAKARTA);142000;A002011027;C001041018
04/01/2020 9:00;CAB JKT (BCA VA DR LUBANG BUAYA AGEN);378045;A002011027;C001041011
