Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
04/20/2020 21:48:29;CAB TAN (BCA VA DR CIKUPA COUNTER);518000;A002011027;C001041021
04/20/2020 22:34:37;CAB MES (BCA VA DR BINJAI COUNTER);1400000;A002011027;C002041038
04/20/2020 07:27:41;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);396025;A002011027;C001041016
04/20/2020 07:59:41;CAB SUB (BCA VA DR RUNGKUT AGEN);494062;A002011027;C001041016
04/20/2020 08:16:20;CAB DPS (BCA VA DR DENPASAR CABANG);11447000;A002011027;C001041017
04/20/2020 08:26:16;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);2119000;A002011027;C001041020
04/20/2020 08:37:20;CAB JKT (BCA VA DR CENGKARENG AGEN);8879325;A002011027;C001041011
04/20/2020 08:40:31;CAB BDO (BCA VA DR UJUNG BERUNG AGEN);413000;A002011027;C001041012
04/20/2020 08:42:18;CAB SUB (BCA VA DR PANDUGO AGEN);3751504;A002011027;C001041016
04/20/2020 08:47:24;CAB SUB (BCA VA DR KLAMPIS AGEN);2474575;A002011027;C001041016
04/20/2020 08:53:21;CAB BSI (BCA VA DR WANAHERANG AGEN);1464100;A002011027;C002041035
04/20/2020 08:56:41;CAB BDO (BCA VA DR CARINGIN AGEN);6057000;A002011027;C001041012
04/20/2020 08:59:45;CAB KII (BCA VA DR BLITAR AGEN);773650;A002011027;C001041033
04/20/2020 09:01:14;CAB SRG (BCA VA DR MT HARYONO AGEN);1866936;A002011027;C001041014
04/20/2020 09:02:43;CAB BRG (BCA VA DR CIBINONG AGEN);1992970;A002011027;C001041020
04/20/2020 09:09:43;CAB CJR (BCA VA DR CIANJUR CABANG);30000;A002011027;C002041043
04/20/2020 09:28:32;CAB BDO (BCA VA DR CIMAHI AGEN 01);3986500;A002011027;C001041012
04/20/2020 09:28:55;CAB TMA (BCA VA DR TASIKMALAYA CABANG);61000;A002011027;C002041030
04/20/2020 09:32:15;CAB SST (BCA VA DR SALATIGA CABANG);38000;A002011027;C001041019
04/20/2020 09:33:44;CAB BSI (BCA VA DR LIPPO COUNTER);3717000;A002011027;C002041035
04/20/2020 09:39:53;CAB DPS (BCA VA DR DENPASAR COUNTER);970000;A002011027;C001041017
04/20/2020 09:39:56;CAB BDO (BCA VA DR DAKOTA BANDUNG);9750000;A002011027;C001041012
04/20/2020 09:41:33;CAB BDO (BCA VA DR BANDUNG COUNTER);269000;A002011027;C001041012
04/20/2020 09:42:00;CAB BDO (BCA VA DR BANDUNG COUNTER);3600000;A002011027;C001041012
04/20/2020 09:42:01;CAB MES (BCA VA DR MEDAN CABANG);768300;A002011027;C002041038
04/20/2020 09:42:08;CAB SRG (BCA VA DR MAJAPAHIT AGEN);1183970;A002011027;C001041014
04/20/2020 09:52:32;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);251000;A002011027;C001041021
04/20/2020 09:56:03;CAB SRG (BCA VA DR PUSPONJOLO AGEN);2240215;A002011027;C001041014
04/20/2020 09:57:39;CAB SRG (BCA VA DR BETENG AGEN);2000188;A002011027;C001041014
04/20/2020 09:57:57;CAB MLG (BCA VA DR MALANG CABANG);80000;A002011027;C001041015
04/20/2020 09:58:46;CAB BDO (BCA VA DR KATAPANG AGEN);421000;A002011027;C001041012
04/20/2020 10:04:02;CAB SRG (BCA VA DR BANYUMANIK AGEN);2226400;A002011027;C001041014
04/20/2020 10:05:44;CAB BSI (BCA VA DR CIKARANG COUNTER);148000;A002011027;C002041035
04/20/2020 10:09:39;CAB SRG (BCA VA DR BANYUMANIK AGEN);26000;A002011027;C001041014
04/20/2020 10:12:14;CAB JOG (BCA VA DR BANTUL JOGJA AGEN);248000;A002011027;C001041018
04/20/2020 10:17:00;CAB BSI (BCA VA DR CIKARANG COUNTER);144000;A002011027;C002041035
04/20/2020 10:18:01;CAB KRW (BCA VA DR KERTABUMI AGEN);46000;A002011027;C002041061
04/20/2020 10:22:09;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);462000;A002011027;C001041021
04/20/2020 10:22:10;CAB MES (BCA VA DR TOPEX RING ROAD AGEN);50375;A002011027;C002041038
04/20/2020 10:25:25;CAB MES (BCA VA DR MEDAN CABANG);100000;A002011027;C002041038
04/20/2020 10:27:34;CAB TMA (BCA VA DR TASIKMALAYA CABANG);292000;A002011027;C002041030
04/20/2020 10:29:14;CAB JKT (BCA VA DR THAMRIN CITY AGEN);50143;A002011027;C001041011
04/20/2020 10:34:21;CAB BDO (BCA VA DR BANDUNG COUNTER);869000;A002011027;C001041012
04/20/2020 10:34:22;CAB BSI (BCA VA DR BETOS AGEN);108000;A002011027;C002041035
04/20/2020 10:34:39;CAB BSI (BCA VA DR BANTAR GEBANG AGEN);445450;A002011027;C002041035
04/20/2020 10:36:48;CAB BSI (BCA VA DR CIANGSANA AGEN);392800;A002011027;C002041035
04/20/2020 10:39:19;CAB BSI (BCA VA DR CIBITUNG AGEN);3147350;A002011027;C002041035
04/20/2020 10:41:37;CAB CBN (BCA VA DR TEGAL GUBUK AGEN);7270100;A002011027;C001041013
04/20/2020 10:45:04;CAB JKT (BCA VA DR PETA SELATAN COUNTER);231000;A002011027;C001041011
04/20/2020 10:47:26;CAB XOJ (BCA VA DR BAMBE AGEN);270594;A002011027;C002041049
04/20/2020 10:49:33;CAB SUB (BCA VA DR TANDES AGEN);974800;A002011027;C001041016
04/20/2020 10:51:26;CAB BRG (BCA VA DR BOGOR CABANG);10314000;A002011027;C001041020
04/20/2020 10:53:06;CAB JKT (BCA VA DR PERNIAGAAN AGEN);3680436;A002011027;C001041011
04/20/2020 10:55:30;CAB XOJ (BCA VA DR COUNTER DRIYOREJO);50000;A002011027;C002041049
04/20/2020 10:56:30;CAB CBN (BCA VA DR CIREBON CABANG);70000;A002011027;C001041013
04/20/2020 11:00:34;CAB TAN (BCA VA DR BATU CEPER AGEN);315000;A002011027;C001041021
04/20/2020 11:01:25;CAB JKT (BCA VA DR PENGGILINGAN AGEN);3813620;A002011027;C001041011
04/20/2020 11:09:59;CAB BSI (BCA VA DR SETU AGEN);1949350;A002011027;C002041035
04/20/2020 11:10:36;CAB BSI (BCA VA DR DEPOK COUNTER);3512000;A002011027;C002041035
04/20/2020 11:20:06;CAB BSI (BCA VA DR BEKASI CABANG);277000;A002011027;C002041035
04/20/2020 11:23:17;CAB MGL (BCA VA DR MUNGKID AGEN);378200;A002011027;C001041032
04/20/2020 11:23:18;CAB JKT (BCA VA DR OTISTA AGEN);3199676;A002011027;C001041011
04/20/2020 11:24:57;CAB BDO (BCA VA DR MARGAASIH AGEN);136000;A002011027;C001041012
04/20/2020 11:28:42;CAB XOJ (BCA VA DR MENGANTI AGEN);2253928;A002011027;C002041049
04/20/2020 11:30:37;CAB SRG (BCA VA DR SEMARANG CABANG);2550000;A002011027;C001041014
04/20/2020 11:36:08;CAB BSI (BCA VA DR HANKAM AGEN);257200;A002011027;C002041035
04/20/2020 11:37:06;CAB BSI (BCA VA DR BEKASI CABANG);501000;A002011027;C002041035
04/20/2020 11:37:14;CAB BSI (BCA VA DR HARAPAN INDAH AGEN);6168800;A002011027;C002041035
04/20/2020 11:37:32;CAB BDO (BCA VA DR PASAR BARU AGEN);8658500;A002011027;C001041012
04/20/2020 11:38:41;CAB BSI (BCA VA DR CIRACAS AGEN);549500;A002011027;C002041035
04/20/2020 11:40:28;CAB BSI (BCA VA DR BEKASI CABANG);339500;A002011027;C002041035
04/20/2020 11:40:35;CAB TAN (BCA VA DR TANGERANG CABANG);286000;A002011027;C001041021
04/20/2020 11:40:35;CAB PWL (BCA VA DR CILACAP COUNTER);728000;A002011027;C001041024
04/20/2020 11:41:38;CAB PLM (BCA VA DR PALEMBANG CABANG);805000;A002011027;C001041036
04/20/2020 11:44:11;CAB TAN (BCA VA DR TANAH TINGGI AGEN);4836000;A002011027;C001041021
04/20/2020 11:48:41;CAB MLG (BCA VA DR MALANG CABANG);196000;A002011027;C001041015
04/20/2020 11:54:14;CAB BSI (BCA VA DR CIKARANG COUNTER);3369550;A002011027;C002041035
04/20/2020 11:55:47;CAB BSI (BCA VA DR PEJATEN AGEN);267000;A002011027;C002041035
04/20/2020 12:03:19;CAB TAN (BCA VA DR CIKUPA COUNTER);476000;A002011027;C001041021
04/20/2020 12:07:53;CAB BDO (BCA VA DR RANCA EKEK AGEN);2427050;A002011027;C001041012
04/20/2020 12:08:35;CAB BSI (BCA VA DR CIGANJUR AGEN);10342500;A002011027;C002041035
04/20/2020 12:16:37;CAB SUB (BCA VA DR PANDEGILING COUNTER);99000;A002011027;C001041016
04/20/2020 12:22:29;CAB MLG (BCA VA DR MALANG CABANG);156000;A002011027;C001041015
04/20/2020 12:26:19;CAB SUB (BCA VA DR DEMAK COUNTER);341000;A002011027;C001041016
04/20/2020 12:36:10;CAB TAN (BCA VA DR CIPONDOH AGEN);1515000;A002011027;C001041021
04/20/2020 12:37:09;CAB BSI (BCA VA DR HANKAM AGEN);410800;A002011027;C002041035
04/20/2020 12:37:40;CAB BSI (BCA VA DR DUTA HARAPAN AGEN);2886400;A002011027;C002041035
04/20/2020 12:39:33;CAB SUB (BCA VA DR BENOWO AGEN);37510;A002011027;C001041016
04/20/2020 12:40:41;CAB JOG (BCA VA DR DAKOTA YOGYAKARTA);630000;A002011027;C001041018
04/20/2020 12:43:26;CAB SKM (BCA VA DR SUKABUMI CABANG);102000;A002011027;C001041023
04/20/2020 12:45:39;CAB BDO (BCA VA DR BANDUNG COUNTER);92000;A002011027;C001041012
04/20/2020 12:56:06;CAB SUB (BCA VA DR PCI COUNTER);40000;A002011027;C001041016
04/20/2020 13:01:08;CAB MLG (BCA VA DR MALANG CABANG);56000;A002011027;C001041015
04/20/2020 13:13:39;CAB MLG (BCA VA DR MALANG GUDANG);420000;A002011027;C001041015
04/20/2020 13:36:52;CAB CBN (BCA VA DR CIREBON CABANG);150000;A002011027;C001041013
04/20/2020 13:52:22;CAB TAN (BCA VA DR TANGERANG COUNTER);71000;A002011027;C001041021
04/20/2020 13:52:48;CAB JKT (BCA VA DR PS.PAGI/COUNTER);3213000;A002011027;C001041011
04/20/2020 13:55:42;CAB TAN (BCA VA DR TANGERANG COUNTER);519200;A002011027;C001041021
04/20/2020 13:59:49;CAB GRT (BCA VA DR GARUT CABANG);50000;A002011027;C002041047
04/20/2020 13:59:58;CAB MES (BCA VA DR KATAMSO AGEN);1103000;A002011027;C002041038
04/20/2020 14:02:10;CAB BDO (BCA VA DR BANDUNG COUNTER);466000;A002011027;C001041012
04/20/2020 14:02:52;CAB BSI (BCA VA DR BEKASI CABANG);394000;A002011027;C002041035
04/20/2020 14:05:46;CAB BSI (BCA VA DR ELLI SUKMAJAYA AGEN);5512000;A002011027;C002041035
04/20/2020 14:11:23;CAB SRG (BCA VA DR SEMARANG COUNTER);147000;A002011027;C001041014
04/20/2020 14:15:39;CAB SUB (BCA VA DR PCI COUNTER);662000;A002011027;C001041016
04/20/2020 14:17:29;CAB BDO (BCA VA DR BANDUNG COUNTER);193000;A002011027;C001041012
04/20/2020 14:21:48;CAB CBN (BCA VA DR CIREBON CABANG);171500;A002011027;C001041013
04/20/2020 14:24:04;CAB TMA (BCA VA DR TASIKMALAYA CABANG);928000;A002011027;C002041030
04/20/2020 14:25:31;CAB BDO (BCA VA DR BANDUNG COUNTER);127000;A002011027;C001041012
04/20/2020 14:32:51;CAB SUB (BCA VA DR PCI COUNTER);4800000;A002011027;C001041016
04/20/2020 15:03:25;CAB JKT (BCA VA DR BINTARO ASPERINDO AGEN);885729;A002011027;C001041011
04/20/2020 15:03:27;CAB MLG (BCA VA DR MALANG CABANG);2150000;A002011027;C001041015
04/20/2020 15:09:28;CAB JOG (BCA VA DR PINARAK AGEN);185884;A002011027;C001041018
04/20/2020 15:09:41;CAB KXT (BCA VA DR KLATEN CABANG);1036000;A002011027;C002041036
04/20/2020 15:11:34;CAB MLG (BCA VA DR MALANG CABANG);37000;A002011027;C001041015
