agenID_asal,servID,Tujuan_Kecamatan,Tujuan_Kabupaten,Tujuan_Propinsi,JenisUnit,TypeUnit,hargapokok,estimasiHari,keterangan,Flag_DS
385,1,SEMIDANG ALAS,SELUMA,BENGKULU,Motor,250 CC,3000000,10,,N
385,1,SEMIDANG ALAS MARAS,SELUMA,BENGKULU,Motor,250 CC,3100000,10,,N
385,1,SUKARAJA,SELUMA,BENGKULU,Motor,250 CC,2550000,10,,N
385,1,TALO,SELUMA,BENGKULU,Motor,250 CC,3100000,10,,N
385,1,ALAM BARAJO,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,JAMBI SELATAN,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,JAMBI TIMUR,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,JELUTUNG,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,KOTA BARU,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,PASAR JAMBI,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,DANAU TELUK,JAMBI,JAMBI,Motor,250 CC,2650000,5,,N
385,1,PELAYANGAN,JAMBI,JAMBI,Motor,250 CC,2650000,5,,N
385,1,TELANAIPURA,JAMBI,JAMBI,Motor,250 CC,1825000,5,,N
385,1,HAMPARAN RAWANG,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,KOTO BARU,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,KUMUN DEBAI,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,PESISIR BUKIT,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,PONDOK TINGGI,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,SUNGAI BUNGKAL,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,SUNGAI PENUH,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,TANAH KAMPUNG,SUNGAIPENUH,JAMBI,Motor,250 CC,4550000,8,,N
385,1,BATIN XXIV,BATANG HARI,JAMBI,Motor,250 CC,4000000,8,,N
385,1,MARO SEBO ILIR,BATANG HARI,JAMBI,Motor,250 CC,4000000,8,,N
385,1,MARO SEBO ULU,BATANG HARI,JAMBI,Motor,250 CC,4000000,8,,N
385,1,MERSAM,BATANG HARI,JAMBI,Motor,250 CC,4000000,8,,N
385,1,MUARA BULIAN,BATANG HARI,JAMBI,Motor,250 CC,3450000,8,,N
385,1,MUARA TEMBESI,BATANG HARI,JAMBI,Motor,250 CC,3450000,8,,N
385,1,PEMAYUNG,BATANG HARI,JAMBI,Motor,250 CC,3450000,8,,N
385,1,BATHIN II BABEKO,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,BATHIN II PELAYANG,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,BATHIN III,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,BATHIN III ULU,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,BUNGO DANI,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,JUJUHAN,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,JUJUHAN ILIR,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,LIMBUR LUBUK MENGKUANG,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,MUKO-MUKO BATIN VII,BUNGO,JAMBI,Motor,250 CC,3700000,6,,N
385,1,PASAR MUARA BUNGO,BUNGO,JAMBI,Motor,250 CC,1925000,5,,N
385,1,PELEPAT,BUNGO,JAMBI,Motor,250 CC,3550000,6,,N
385,1,PELEPAT ILIR,BUNGO,JAMBI,Motor,250 CC,3850000,6,,N
385,1,RANTAU PANDAN,BUNGO,JAMBI,Motor,250 CC,3850000,6,,N
385,1,RIMBO TENGAH,BUNGO,JAMBI,Motor,250 CC,3850000,6,,N
385,1,TANAH SEPENGGAL,BUNGO,JAMBI,Motor,250 CC,3550000,6,,N
385,1,TANAH SEPENGGAL LINTAS,BUNGO,JAMBI,Motor,250 CC,3850000,6,,N
385,1,TANAH TUMBUH,BUNGO,JAMBI,Motor,250 CC,3850000,6,,N
385,1,AIR HANGAT,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,AIR HANGAT BARAT,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,AIR HANGAT TIMUR,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,BATANG MERANGIN,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,BUKITKERMAN,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,DANAU KERINCI,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,DEPATI TUJUH,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,GUNUNG KERINCI,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,GUNUNG RAYA,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,GUNUNG TUJUH,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,KAYU ARO,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,KAYU ARO BARAT,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,KELILING DANAU,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,SITINJAU LAUT,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,SIULAK,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,SIULAK MUKAI,KERINCI,JAMBI,Motor,250 CC,5075000,8,,N
385,1,BANGKO,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,BANGKO BARAT,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,BATANG MASUMAI,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,JANGKAT,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,LEMBAH MASURAI,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,MARGO TABIR,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,MUARA SIAU,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,NALO TANTAN,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PAMENANG,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PAMENANG BARAT,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PAMENANG SELATAN,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PANGKALAN JAMBU,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,RENAH PEMBARAP,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,RENAH PEMENANG,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,SUNGAI MANAU,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,SUNGAI TENANG,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR BARAT,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR ILIR,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR LINTAS,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR SELATAN,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR TIMUR,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TABIR ULU,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TIANG PUMPUNG,MERANGIN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,MESTONG,MUARO JAMBI,JAMBI,Motor,250 CC,3750000,5,,Y
385,1,SEKERNAN,MUARO JAMBI,JAMBI,Motor,250 CC,3750000,5,,Y
385,1,TAMAN RAJO / REJO,MUARO JAMBI,JAMBI,Motor,250 CC,3700000,8,,Y
385,1,AIR HITAM,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,BATANG ASAI,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,BATHIN VIII (BATIN VIII),SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,CERMIN NAN GADANG,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,LIMUN,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,MANDIANGIN,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PAUH,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,PELAWAN,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,SAROLANGUN,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,SINGKUT,SAROLANGUN,JAMBI,Motor,250 CC,3875000,8,,N
385,1,TUNGKAL ILIR,TANJUNG JABUNG BARAT,JAMBI,Motor,250 CC,9100000,8,,Y
385,1,MUARA SABAK TIMUR,TANJUNG JABUNG TIMUR,JAMBI,Motor,250 CC,7475000,8,,Y
385,1,MUARA TABIR,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,RIMBO BUJANG,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,RIMBO ILIR,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,RIMBO ULU,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,SERAI SERUMPUN,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,SUMAY,TEBO,JAMBI,Motor,250 CC,3850000,8,,N
385,1,TEBO ILIR,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,TEBO TENGAH,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,TEBO ULU,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,TENGAH ILIR,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,VII KOTO,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,VII KOTO ILIR,TEBO,JAMBI,Motor,250 CC,3550000,8,,N
385,1,BUNGUS TELUK KABUNG,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,KOTO TANGAH,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,KURANJI,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,LUBUK BEGALUNG,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,LUBUK KILANGAN,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,NANGGALO,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,PADANG BARAT,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,PADANG SELATAN,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,PADANG TIMUR,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,PADANG UTARA,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,PAUH,PADANG,SUMATERA BARAT,Motor,250 CC,2125000,6,,N
385,1,AUR BIRUGO TIGO BALEH,BUKITTINGGI,SUMATERA BARAT,Motor,250 CC,2175000,6,,N
385,1,GUGUK PANJANG (GUGUAK PANJANG),BUKITTINGGI,SUMATERA BARAT,Motor,250 CC,2175000,6,,N
385,1,MANDIANGIN KOTO SELAYAN,BUKITTINGGI,SUMATERA BARAT,Motor,250 CC,2175000,6,,N
385,1,PADANG PANJANG BARAT,PADANG PANJANG,SUMATERA BARAT,Motor,250 CC,2725000,8,,N
385,1,PADANG PANJANG TIMUR,PADANG PANJANG,SUMATERA BARAT,Motor,250 CC,2725000,8,,N
385,1,PARIAMAN SELATAN,PARIAMAN,SUMATERA BARAT,Motor,250 CC,3275000,8,,N
385,1,PARIAMAN TENGAH,PARIAMAN,SUMATERA BARAT,Motor,250 CC,3275000,8,,N
385,1,PARIAMAN TIMUR,PARIAMAN,SUMATERA BARAT,Motor,250 CC,3275000,8,,N
385,1,PARIAMAN UTARA,PARIAMAN,SUMATERA BARAT,Motor,250 CC,3275000,8,,N
385,1,LAMPOSI TIGO NAGARI,PAYAKUMBUH,SUMATERA BARAT,Motor,250 CC,2675000,8,,N
385,1,PAYAKUMBUH BARAT,PAYAKUMBUH,SUMATERA BARAT,Motor,250 CC,2700000,8,,N
385,1,PAYAKUMBUH SELATAN,PAYAKUMBUH,SUMATERA BARAT,Motor,250 CC,2775000,8,,N
385,1,PAYAKUMBUH TIMUR,PAYAKUMBUH,SUMATERA BARAT,Motor,250 CC,2700000,8,,N
385,1,PAYAKUMBUH UTARA,PAYAKUMBUH,SUMATERA BARAT,Motor,250 CC,2700000,8,,N
385,1,BARANGIN,SAWAH LUNTO,SUMATERA BARAT,Motor,250 CC,4825000,6,,N
385,1,LEMBAH SEGAR,SAWAH LUNTO,SUMATERA BARAT,Motor,250 CC,4825000,6,,N
